id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_year,instrumentalness,lyrical_sentiment,production_complexity
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,86,2021,0.12,0.74,0.78
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,68,2019,0.67,0.18,0.44
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,74,2016,0.08,-0.12,0.73
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,63,2020,0.79,0.10,0.40
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,91,2022,0.04,0.42,0.84
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,58,2018,0.86,0.06,0.36
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,60,2014,0.72,0.22,0.43
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,72,2017,0.18,-0.38,0.76
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,66,2015,0.64,0.08,0.46
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,79,2013,0.20,0.61,0.70
11,Paranoid Android,Radiohead,alternative rock,intense,0.80,140,0.45,0.50,0.15,95,1997,0.05,-0.30,0.88
12,Blinding Lights,The Weeknd,synth-pop,euphoric,0.89,130,0.85,0.84,0.08,98,2019,0.03,0.69,0.86
13,Dancing Queen,ABBA,disco,happy,0.88,102,0.90,0.92,0.10,99,1976,0.02,0.80,0.69
14,505,Arctic Monkeys,indie rock,melancholic,0.65,95,0.25,0.45,0.35,93,2007,0.10,-0.52,0.74
15,Uptown Funk,Bruno Mars,funk,energetic,0.87,104,0.82,0.93,0.05,97,2014,0.03,0.66,0.82
16,Broken Hearts,Twilight Echoes,indie rock,melancholic,0.68,112,0.38,0.71,0.42,70,2018,0.14,-0.41,0.67
17,Symphony Dawn,Orchestra Dreams,classical,dreamy,0.40,85,0.69,0.35,0.94,55,1991,0.93,0.12,0.52
18,Thunder Strike,Rage Collective,metal,aggressive,0.96,165,0.31,0.72,0.08,77,2011,0.01,-0.44,0.90
19,Island Vibes,Tropical Sounds,reggae,upbeat,0.72,95,0.77,0.68,0.65,73,2009,0.28,0.49,0.58
20,Dance Floor Fire,Groove Kings,funk,nostalgic,0.89,125,0.82,0.91,0.28,81,2003,0.06,0.33,0.80
